aaaaaaaaaaaaaa batata aaaaaaaaaaaaaaaaaa
bbbbbbbbbbbbbb banana bbbbbbbbbbbbbbbbbb
cccccccccccccc cenora cccccccccccccccccc
dddddddddddddd banana dddddddddddddddddd
eeeeeeeeeeeeee aboboraeeeeeeeeeeeeeeeeee
ffffffffffffff suco ffffffffffffffffff
gggggggggggggg banana gggggggggggggggggg
hhhhhhhhhhhhhh banana hhhhhhhhhhhhhhhhhh
iiiiiiiiiiiiii abacaxi iiiiiiiiiiiiiiiiii
jjjjjjjjjjjjjj goiaba jjjjjjjjjjjjjjjjjj
kkkkkkkkkkkkkk banana kkkkkkkkkkkkkkkkkk
llllllllllllll acerola llllllllllllllllll
mmmmmmmmmmmmmm alface mmmmmmmmmmmmmmmmmm
nnnnnnnnnnnnnn banana nnnnnnnnnnnnnnnnnn
oooooooooooooo banana oooooooooooooooooo 
